date,equity,cash,selected,positions,tax_paid,fees_paid,distributions_net
2018-01-02,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-03,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-04,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-05,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-08,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-09,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-10,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-11,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-12,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-15,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-16,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-17,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-18,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-19,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-22,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-23,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-24,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-26,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-29,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-30,1000.0,1000.0,,0,0.0,0.0,0.0
2018-01-31,1000.0,1000.0,,0,0.0,0.0,0.0
2018-02-01,1013.6480542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-02,991.6480542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-05,956.1180542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-06,967.2280542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-07,938.1880542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-08,905.1880542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-09,881.9780542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-14,890.8880542140028,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-15,940.4980542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-16,933.8980542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-19,974.0480542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-20,982.0780542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-21,944.1280542140028,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-22,964.8080542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-23,1026.0780542140028,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-26,1106.7080542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-27,1075.6880542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-02-28,1070.7380542140027,69.1880542140027,MGLU3,1,0.0,0.30241559731132295,0.0
2018-03-01,1077.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-02,1067.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-05,1068.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-06,1056.1859184965638,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-07,1032.985918496564,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-08,1038.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-09,1036.7859184965641,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-12,1044.785918496564,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-13,1066.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-14,1078.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-15,1072.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-16,1132.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-19,1124.385918496564,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-20,1134.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-21,1161.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-22,1153.985918496564,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-23,1127.785918496564,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
2018-03-26,1124.5859184965639,404.585918496564,ESTC3,1,0.0,0.8431896221748372,0.0
