date,side,ticker,shares,market_type,raw_open,execution_price,notional,fee,slippage_bps,realized_gain
2023-01-02,BUY,WEGE3,25,020,38.51,38.54970405540461,963.7426013851152,0.3083976324432369,10.310063724905437,0.0
2023-06-01,SELL,WEGE3,25,020,37.81,37.770856033825766,944.2714008456442,0.3021668482706062,10.352807768906722,-20.08176502018489
2023-06-01,BUY,RADL3,34,020,28.2,28.23191363424106,959.885063564196,0.3071632203405427,11.316891574844703,0.0
2023-08-01,SELL,RADL3,34,020,28.9,28.866713786007885,981.4682687242681,0.3140698459917658,11.517721104536747,20.96197209373986
2023-08-01,BUY,BBAS3,20,020,48.13,48.17866607207174,963.5733214414348,0.30834346286125913,10.11138002737112,0.0
2023-09-01,SELL,BBAS3,20,020,47.2,47.15233886659181,943.0467773318362,0.3017749687461876,10.097697755971746,-21.136662541205965
2023-09-01,BUY,CYRE3,43,020,22.45,22.475609768222057,966.4512200335485,0.30926439041073556,11.407469141229967,0.0
2023-11-01,SELL,CYRE3,43,020,18.06,18.03913817694766,775.6829416087494,0.2482185413147998,11.551397038946853,-191.3257613565247
2023-11-01,BUY,PETR4,22,020,35.0,35.035291114082455,770.776404509814,0.2466484494431405,10.083175452129554,0.0
2023-12-01,SELL,PETR4,22,020,35.74,35.70391577409618,785.486147030116,0.25135556704963713,10.09631390705808,14.211738503809215
2023-12-01,BUY,VBBR3,34,020,23.3,23.325554064529538,793.0688381940042,0.25378202822208135,10.967409669328031,0.0
2024-01-02,SELL,VBBR3,34,020,22.76,22.73483571826879,772.9844144211389,0.24735501261476447,11.056362799301628,-20.58556081370216
2024-01-02,BUY,UGPA3,29,020,26.5,26.531347791118176,769.409085942427,0.24621090750157668,11.829355138935547,0.0
2024-03-01,SELL,UGPA3,29,020,29.36,29.32544302178195,850.4378476316765,0.2721401112421365,11.77008794892695,80.51041067050573
2024-03-01,BUY,SBSP3,10,020,79.14,79.22246906995267,792.2246906995267,0.2535119010238486,10.42065579386747,0.0
2024-04-01,SELL,SBSP3,10,020,85.05,84.9609205912679,849.6092059126789,0.27187494589205724,10.47376939824848,56.85912836623629
2024-04-01,BUY,UGPA3,31,020,28.38,28.414535819385573,880.8506104009527,0.28187219532830493,12.169069550942224,0.0
2024-05-02,SELL,UGPA3,31,020,25.92,25.887790506482432,802.5215057009553,0.2568068818243057,12.426502128691512,-78.86778377715007
2024-05-02,BUY,EMBR3,24,020,33.0,33.036720757825606,792.8812981878145,0.25372201542010064,11.127502371395874,0.0
2024-06-03,SELL,EMBR3,24,020,36.25,36.21111492618518,869.0667582284443,0.2781013626331022,10.72691691443191,75.65363666257645
2024-06-03,BUY,SBSP3,12,020,73.96,74.03814467018823,888.4577360422588,0.28430647553352284,10.565801810200883,0.0
2024-07-01,SELL,SBSP3,12,020,73.38,73.30326006007654,879.6391207209185,0.28148451863069396,10.457882246314142,-9.384406315504634
2024-07-01,BUY,EMBR3,25,020,36.2,36.23902751540731,905.9756878851827,0.28991222012325846,10.78108160422731,0.0
2024-09-02,SELL,EMBR3,25,020,46.88,46.82971168685981,1170.7427921714952,0.37463769349487847,10.72702925345436,264.1025543726945
2024-09-02,BUY,WEGE3,21,020,54.34,54.396115178258626,1142.318418743431,0.36554189399789794,10.326679841484454,0.0
