date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2006-02-08,CSMG3,CSMG3,7.933333333333334,8.6,7.8999999999999995,8.333333333333332,8.333333333333332,23905200,23.8,25.8,23.7,25.0,0.3333333333333333,25.8,23.7,0,7968400,7474,195167823.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-02-13,CSMG3,CSMG3,8.333333333333332,8.803333333333333,8.116666666666667,8.633333333333333,8.633333333333333,9052500,25.0,26.41,24.35,25.9,0.3333333333333333,26.41,24.35,0,3017500,3469,76027945.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-02-20,CSMG3,CSMG3,8.62,8.62,8.266666666666666,8.399999999999999,8.399999999999999,3924600,25.86,25.86,24.8,25.2,0.3333333333333333,25.86,24.8,0,1308200,1342,33149272.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-03-01,CSMG3,CSMG3,8.413333333333332,8.733333333333333,8.413333333333332,8.5,8.5,6336900,25.24,26.2,25.24,25.5,0.3333333333333333,26.2,25.24,0,2112300,957,54056906.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-03-06,CSMG3,CSMG3,8.463333333333333,8.463333333333333,7.336666666666667,7.933333333333334,7.933333333333334,4029300,25.39,25.39,22.01,23.8,0.3333333333333333,25.39,22.01,0,1343100,975,31986514.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-03-13,CSMG3,CSMG3,8.0,8.166666666666666,7.7333333333333325,8.016666666666666,8.016666666666666,1427700,24.0,24.5,23.2,24.05,0.3333333333333333,24.5,23.2,0,475900,552,11357241.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-03-20,CSMG3,CSMG3,8.096666666666666,8.463333333333333,8.033333333333333,8.166666666666666,8.166666666666666,1837500,24.29,25.39,24.1,24.5,0.3333333333333333,25.39,24.1,0,612500,731,15005073.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-03-27,CSMG3,CSMG3,8.003333333333334,8.133333333333333,7.433333333333334,8.033333333333333,8.033333333333333,2199900,24.01,24.4,22.3,24.1,0.3333333333333333,24.4,22.3,0,733300,438,17329434.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-04-03,CSMG3,CSMG3,7.836666666666667,8.333333333333332,7.836666666666667,8.333333333333332,8.333333333333332,1964700,23.51,25.0,23.51,25.0,0.3333333333333333,25.0,23.51,0,654900,966,16075471.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-04-10,CSMG3,CSMG3,8.2,8.366666666666667,7.7333333333333325,7.7333333333333325,7.7333333333333325,406200,24.6,25.1,23.2,23.2,0.3333333333333333,25.1,23.2,0,135400,242,3292820.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-04-17,CSMG3,CSMG3,7.67,7.796666666666667,7.196666666666666,7.203333333333333,7.203333333333333,2550300,23.01,23.39,21.59,21.61,0.3333333333333333,23.39,21.59,0,850100,786,18779051.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-04-24,CSMG3,CSMG3,7.2,7.433333333333334,6.533333333333333,7.023333333333333,7.023333333333333,4128600,21.6,22.3,19.6,21.07,0.3333333333333333,22.3,19.6,0,1376200,847,29185512.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-05-02,CSMG3,CSMG3,6.993333333333333,7.266666666666667,6.933333333333334,7.036666666666666,7.036666666666666,1844700,20.98,21.8,20.8,21.11,0.3333333333333333,21.8,20.8,0,614900,532,12927480.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-05-08,CSMG3,CSMG3,7.096666666666666,7.166666666666666,6.866666666666667,6.993333333333333,6.993333333333333,5959200,21.29,21.5,20.6,20.98,0.3333333333333333,21.5,20.6,0,1986400,1243,42146185.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
2006-05-15,CSMG3,CSMG3,7.023333333333333,7.166666666666666,6.666666666666666,7.066666666666666,7.066666666666666,4010700,21.07,21.5,20.0,21.2,0.3333333333333333,21.5,20.0,0,1336900,1038,27752482.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA
