rank,ticker,strategy,label,params,test_total_return,test_benchmark_total_return,test_excess_total_return,test_max_drawdown,test_trades,test_exposure
1,GGBR3,rsi_reversion_atr,rsi_atr_slow,rsi_period=21;lower=45.0;upper=75.0;atr_period=14;atr_mult=2.0,6.149824688305826,2.508794543975277,3.6410301443305495,-0.4979887175327925,39,0.8774387193596799
2,GGBR3,rsi_reversion_trend_entry,rsi_trend_entry_fast,rsi_period=21;lower=50.0;upper=80.0;trend_window=50,4.759681211321656,2.508794543975277,2.250886667346379,-0.3269200323496183,3,0.9559779889944973
3,GGBR3,rsi_cross_reversion,rsi_cross_confirm,rsi_period=10;lower=35.0;upper=85.0,4.55773482120157,2.508794543975277,2.048940277226293,-0.5313184286899109,11,0.8814407203601801
4,GGBR3,rsi_reversion,base_14_40_80,rsi_period=14;lower=40.0;upper=80.0,3.9222055096928194,2.508794543975277,1.4134109657175427,-0.5225626849293556,11,0.8994497248624312
5,GGBR3,rsi_reversion_trend_entry,rsi_trend_entry_slow,rsi_period=21;lower=50.0;upper=75.0;trend_window=200,3.573677605164077,2.508794543975277,1.0648830611888003,-0.5614381707813754,13,0.9119559779889945
6,GGBR3,rsi_reversion,rsi_fast_loose_exit,rsi_period=7;lower=50.0;upper=90.0,3.0206367160749004,2.508794543975277,0.5118421720996236,-0.597326424959689,7,0.9754877438719359
7,GGBR3,rsi_reversion,rsi_slow_mid,rsi_period=21;lower=45.0;upper=70.0,2.989902982815126,2.508794543975277,0.4811084388398492,-0.5227079659473053,17,0.8144072036018009
8,GGBR3,rsi_reversion_atr,rsi_atr_stop,rsi_period=14;lower=45.0;upper=80.0;atr_period=14;atr_mult=3.0,2.818837753027987,2.508794543975277,0.3100432090527101,-0.6469331232809351,29,0.9214607303651826
9,GGBR3,rsi_reversion,base_14_50_80,rsi_period=14;lower=50.0;upper=80.0,2.501914670809939,2.508794543975277,-0.006879873165337891,-0.5873092342475192,11,0.9364682341170585
10,GGBR3,rsi_cross_reversion,rsi_cross_high_entry,rsi_period=14;lower=55.0;upper=80.0,2.488445258204978,2.508794543975277,-0.02034928577029893,-0.5967189102266706,11,0.9019509754877438
