name,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,signal_mode,roc_windows,roc_weights,positive_rule,short_window,short_weight
top1_risk_adjusted_lb252_skip0_trend200_vol63_equal_weekly_abs_cap1_raw,252,0,1,200,63,weekly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip0_trend200_vol63_equal_monthly_abs_cap1_raw,252,0,1,200,63,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip0_trend200_vol63_equal_monthly_abs_cap1_raw,252,0,1,200,63,monthly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend0_vol21_equal_weekly_abs_cap1_raw,252,21,1,0,21,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend0_vol21_equal_weekly_abs_cap1_raw,252,21,1,0,21,weekly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend0_vol21_equal_monthly_abs_cap1_raw,252,21,1,0,21,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend0_vol21_equal_monthly_abs_cap1_raw,252,21,1,0,21,monthly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend0_vol63_equal_weekly_abs_cap1_raw,252,21,1,0,63,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend0_vol63_equal_weekly_abs_cap1_raw,252,21,1,0,63,weekly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend0_vol63_equal_monthly_abs_cap1_raw,252,21,1,0,63,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend0_vol63_equal_monthly_abs_cap1_raw,252,21,1,0,63,monthly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend200_vol21_equal_weekly_abs_cap1_raw,252,21,1,200,21,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend200_vol21_equal_weekly_abs_cap1_raw,252,21,1,200,21,weekly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend200_vol21_equal_monthly_abs_cap1_raw,252,21,1,200,21,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend200_vol21_equal_monthly_abs_cap1_raw,252,21,1,200,21,monthly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend200_vol63_equal_weekly_abs_cap1_raw,252,21,1,200,63,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend200_vol63_equal_weekly_abs_cap1_raw,252,21,1,200,63,weekly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_momentum_lb252_skip21_trend200_vol63_equal_monthly_abs_cap1_raw,252,21,1,200,63,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top1_risk_adjusted_lb252_skip21_trend200_vol63_equal_monthly_abs_cap1_raw,252,21,1,200,63,monthly,risk_adjusted,equal,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol21_equal_weekly_abs_cap1_raw,63,0,2,200,21,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol21_inv_vol_weekly_abs_cap1_raw,63,0,2,200,21,weekly,momentum,inv_vol,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol21_equal_monthly_abs_cap1_raw,63,0,2,200,21,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol21_inv_vol_monthly_abs_cap1_raw,63,0,2,200,21,monthly,momentum,inv_vol,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol63_equal_weekly_abs_cap1_raw,63,0,2,200,63,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol63_inv_vol_weekly_abs_cap1_raw,63,0,2,200,63,weekly,momentum,inv_vol,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol63_equal_monthly_abs_cap1_raw,63,0,2,200,63,monthly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
top2_momentum_lb63_skip0_trend200_vol63_inv_vol_monthly_abs_cap1_raw,63,0,2,200,63,monthly,momentum,inv_vol,True,1.0,0.0,raw,,,score,0,0.0
top3_momentum_lb63_skip0_trend200_vol21_equal_weekly_abs_cap1_raw,63,0,3,200,21,weekly,momentum,equal,True,1.0,0.0,raw,,,score,0,0.0
