date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2021-07-22,MLAS3,MLAS3,12.5,13.0,12.05,12.5125,12.5125,26601400,12.5,13.0,12.05,12.5125,1.0,13.0,12.05,0,26601400,54983,330832220.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-23,MLAS3,MLAS3,12.50625,13.28,12.50625,12.932500000000001,12.932500000000001,9563700,12.50625,13.28,12.50625,12.932500000000001,1.0,13.28,12.50625,0,9563700,18804,122750231.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-26,MLAS3,MLAS3,12.719375,12.99,12.13,12.697500000000002,12.697500000000002,4349400,12.719375,12.99,12.13,12.697500000000002,1.0,12.99,12.13,0,4349400,7917,54602018.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-27,MLAS3,MLAS3,12.7084375,12.7084375,11.5,12.25,12.25,5391500,12.7084375,12.7084375,11.5,12.25,1.0,12.7084375,11.5,0,5391500,11866,64472312.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-28,MLAS3,MLAS3,12.479218750000001,12.479218750000001,11.5,11.89,11.89,2876700,12.479218750000001,12.479218750000001,11.5,11.89,1.0,12.479218750000001,11.5,0,2876700,4827,33479325.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-29,MLAS3,MLAS3,12.184609375,12.184609375,11.14,11.39,11.39,5874100,12.184609375,12.184609375,11.14,11.39,1.0,12.184609375,11.14,0,5874100,6031,66431483.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-30,MLAS3,MLAS3,11.7873046875,11.7873046875,10.98,11.169999999999998,11.169999999999998,3647300,11.7873046875,11.7873046875,10.98,11.169999999999998,1.0,11.7873046875,10.98,0,3647300,6402,40394321.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-02,MLAS3,MLAS3,11.47865234375,11.55,11.03,11.2575,11.2575,1864000,11.47865234375,11.55,11.03,11.2575,1.0,11.55,11.03,0,1864000,4404,20960829.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-03,MLAS3,MLAS3,11.368076171875,11.368076171875,10.71,10.955000000000002,10.955000000000002,1120100,11.368076171875,11.368076171875,10.71,10.955000000000002,1.0,11.368076171875,10.71,0,1120100,1958,12295774.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-04,MLAS3,MLAS3,11.1615380859375,11.1615380859375,10.56,10.84,10.84,1358100,11.1615380859375,11.1615380859375,10.56,10.84,1.0,11.1615380859375,10.56,0,1358100,2420,14504205.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-05,MLAS3,MLAS3,11.00076904296875,11.2,10.6,10.775,10.775,1765400,11.00076904296875,11.2,10.6,10.775,1.0,11.2,10.6,0,1765400,4494,19146240.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-06,MLAS3,MLAS3,10.887884521484375,11.14,10.64,10.885,10.885,881800,10.887884521484375,11.14,10.64,10.885,1.0,11.14,10.64,0,881800,4031,9608670.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
