date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2007-04-12,JHSF3,JHSF3,8.175,8.39,8.01,8.1875,8.1875,5339100,8.175,8.39,8.01,8.1875,1.0,8.39,8.01,0,5339100,3321,43512163.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-13,JHSF3,JHSF3,8.18125,8.25,8.01,8.165,8.165,453000,8.18125,8.25,8.01,8.165,1.0,8.25,8.01,0,453000,382,3707583.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-16,JHSF3,JHSF3,8.173124999999999,8.173124999999999,8.05,8.102500000000001,8.102500000000001,117000,8.173124999999999,8.173124999999999,8.05,8.102500000000001,1.0,8.173124999999999,8.05,0,117000,172,952708.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-17,JHSF3,JHSF3,8.137812499999999,8.2,8.137812499999999,8.16,8.16,70000,8.137812499999999,8.2,8.137812499999999,8.16,1.0,8.2,8.137812499999999,0,70000,123,571144.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-18,JHSF3,JHSF3,8.14890625,8.14890625,8.05,8.08,8.08,44100,8.14890625,8.14890625,8.05,8.08,1.0,8.14890625,8.05,0,44100,82,357040.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-19,JHSF3,JHSF3,8.114453125,8.19,8.09,8.1325,8.1325,66800,8.114453125,8.19,8.09,8.1325,1.0,8.19,8.09,0,66800,85,543478.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-20,JHSF3,JHSF3,8.1234765625,8.2,8.1,8.1375,8.1375,220200,8.1234765625,8.2,8.1,8.1375,1.0,8.2,8.1,0,220200,119,1793389.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-23,JHSF3,JHSF3,8.130488281249999,8.31,8.1,8.175,8.175,342900,8.130488281249999,8.31,8.1,8.175,1.0,8.31,8.1,0,342900,163,2805324.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-24,JHSF3,JHSF3,8.152744140625,8.35,8.02,8.1725,8.1725,201700,8.152744140625,8.35,8.02,8.1725,1.0,8.35,8.02,0,201700,107,1668729.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-25,JHSF3,JHSF3,8.1626220703125,8.3,8.15,8.225,8.225,803200,8.1626220703125,8.3,8.15,8.225,1.0,8.3,8.15,0,803200,95,6632932.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-26,JHSF3,JHSF3,8.19381103515625,8.25,8.05,8.155000000000001,8.155000000000001,19700,8.19381103515625,8.25,8.05,8.155000000000001,1.0,8.25,8.05,0,19700,21,161806.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-27,JHSF3,JHSF3,8.174405517578126,8.3,8.174405517578126,8.275,8.275,22500,8.174405517578126,8.3,8.174405517578126,8.275,1.0,8.3,8.174405517578126,0,22500,36,185992.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-30,JHSF3,JHSF3,8.224702758789064,8.3,8.224702758789064,8.275,8.275,6300,8.224702758789064,8.3,8.224702758789064,8.275,1.0,8.3,8.224702758789064,0,6300,20,52246.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-02,JHSF3,JHSF3,8.249851379394531,8.5,8.249851379394531,8.4,8.4,158800,8.249851379394531,8.5,8.249851379394531,8.4,1.0,8.5,8.249851379394531,0,158800,93,1328917.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-03,JHSF3,JHSF3,8.324925689697267,8.8,8.324925689697267,8.625,8.625,392500,8.324925689697267,8.8,8.324925689697267,8.625,1.0,8.8,8.324925689697267,0,392500,82,3389712.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-04,JHSF3,JHSF3,8.474962844848633,8.8,8.474962844848633,8.7275,8.7275,141500,8.474962844848633,8.8,8.474962844848633,8.7275,1.0,8.8,8.474962844848633,0,141500,31,1244622.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-07,JHSF3,JHSF3,8.601231422424316,8.65,8.55,8.600000000000001,8.600000000000001,1500,8.601231422424316,8.65,8.55,8.600000000000001,1.0,8.65,8.55,0,1500,6,12955.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-08,JHSF3,JHSF3,8.600615711212159,8.600615711212159,8.4,8.4575,8.4575,2700,8.600615711212159,8.600615711212159,8.4,8.4575,1.0,8.600615711212159,8.4,0,2700,8,22868.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-09,JHSF3,JHSF3,8.52905785560608,8.55,8.25,8.3875,8.3875,13600,8.52905785560608,8.55,8.25,8.3875,1.0,8.55,8.25,0,13600,21,114377.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-10,JHSF3,JHSF3,8.45827892780304,8.5,8.3,8.350000000000001,8.350000000000001,12100,8.45827892780304,8.5,8.3,8.350000000000001,1.0,8.5,8.3,0,12100,9,102243.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-11,JHSF3,JHSF3,8.40413946390152,8.40413946390152,8.15,8.3125,8.3125,4400,8.40413946390152,8.40413946390152,8.15,8.3125,1.0,8.40413946390152,8.15,0,4400,11,36425.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-14,JHSF3,JHSF3,8.358319731950761,8.42,8.35,8.385,8.385,3400,8.358319731950761,8.42,8.35,8.385,1.0,8.42,8.35,0,3400,15,28527.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-15,JHSF3,JHSF3,8.371659865975381,8.5,8.26,8.379999999999999,8.379999999999999,7600,8.371659865975381,8.5,8.26,8.379999999999999,1.0,8.5,8.26,0,7600,20,64220.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-16,JHSF3,JHSF3,8.37582993298769,8.5,8.15,8.3875,8.3875,92000,8.37582993298769,8.5,8.15,8.3875,1.0,8.5,8.15,0,92000,23,774741.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-17,JHSF3,JHSF3,8.381664966493844,8.59,8.35,8.47,8.47,44700,8.381664966493844,8.59,8.35,8.47,1.0,8.59,8.35,0,44700,14,379969.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-18,JHSF3,JHSF3,8.425832483246921,8.6,8.425832483246921,8.55,8.55,59200,8.425832483246921,8.6,8.425832483246921,8.55,1.0,8.6,8.425832483246921,0,59200,19,505950.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-21,JHSF3,JHSF3,8.487916241623461,9.19,8.487916241623461,8.8975,8.8975,796900,8.487916241623461,9.19,8.487916241623461,8.8975,1.0,9.19,8.487916241623461,0,796900,148,7161354.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
