date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-07-31,IRBR3,IRBR3,287.75,296.0,280.7,288.04999999999995,288.04999999999995,1110350,28.775,29.6,28.07,28.805,9.999999999999998,29.6,28.07,0,11103500,14092,318090881.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-01,IRBR3,IRBR3,287.9,297.0,287.9,294.92499999999995,294.92499999999995,380360,28.79,29.7,28.79,29.4925,9.999999999999998,29.7,28.79,0,3803600,6253,112291163.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-02,IRBR3,IRBR3,291.41249999999997,294.8,290.9,293.54999999999995,293.54999999999995,112590,29.14125,29.48,29.09,29.355,9.999999999999998,29.48,29.09,0,1125900,3101,32971542.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-03,IRBR3,IRBR3,292.48124999999993,294.6,291.4,292.975,292.975,67500,29.248125,29.46,29.14,29.2975,10.000000000000002,29.46,29.14,0,675000,2089,19786752.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-04,IRBR3,IRBR3,292.728125,299.6,284.20000000000005,291.20000000000005,291.20000000000005,232100,29.2728125,29.96,28.42,29.12,10.000000000000002,29.96,28.42,0,2321000,5031,67498036.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-07,IRBR3,IRBR3,291.9640625,291.9640625,285.0,287.625,287.625,162800,29.196406250000003,29.196406250000003,28.5,28.7625,10.0,29.196406250000003,28.5,0,1628000,5411,46695495.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-08,IRBR3,IRBR3,289.79453125,289.79453125,280.1,284.3,284.3,200990,28.979453125,28.979453125,28.01,28.43,10.0,28.979453125,28.01,0,2009900,3343,57129219.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-09,IRBR3,IRBR3,287.047265625,287.047265625,273.09999999999997,278.9,278.9,155030,28.7047265625,28.7047265625,27.31,27.89,9.999999999999998,28.7047265625,27.31,0,1550300,3786,42939981.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-10,IRBR3,IRBR3,282.9736328125,284.1,275.79999999999995,279.79999999999995,279.79999999999995,64230,28.29736328125,28.41,27.58,27.98,9.999999999999998,28.41,27.58,0,642300,3591,18037140.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-11,IRBR3,IRBR3,281.38681640625,285.59999999999997,280.0,283.425,283.425,37170,28.138681640625002,28.56,28.0,28.3425,10.0,28.56,28.0,0,371700,1369,10544618.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-14,IRBR3,IRBR3,282.405908203125,285.5,280.59999999999997,283.9,283.9,32810,28.2405908203125,28.55,28.06,28.39,9.999999999999998,28.55,28.06,0,328100,1150,9303644.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-15,IRBR3,IRBR3,283.1529541015625,285.5,283.09999999999997,284.525,284.525,55670,28.315295410156253,28.55,28.31,28.4525,9.999999999999998,28.55,28.31,0,556700,811,15807834.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-16,IRBR3,IRBR3,283.83897705078124,285.9,279.1,283.5,283.5,108810,28.383897705078127,28.59,27.91,28.349999999999998,10.0,28.59,27.91,0,1088100,1688,30961772.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-17,IRBR3,IRBR3,283.66948852539065,285.3,282.0,283.7,283.7,189590,28.36694885253906,28.53,28.2,28.37,10.0,28.53,28.2,0,1895900,567,53767128.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-18,IRBR3,IRBR3,283.6847442626953,285.5,280.1,283.4,283.4,250720,28.36847442626953,28.55,28.01,28.34,10.0,28.55,28.01,0,2507200,1296,71106192.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-21,IRBR3,IRBR3,283.54237213134763,286.90000000000003,278.4,284.15,284.15,197290,28.354237213134766,28.69,27.84,28.415000000000003,9.999999999999998,28.69,27.84,0,1972900,2077,56377539.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-22,IRBR3,IRBR3,283.8461860656738,287.0,283.4,285.4,285.4,35450,28.384618606567386,28.7,28.34,28.54,10.0,28.7,28.34,0,354500,1591,10114654.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-23,IRBR3,IRBR3,284.6230930328369,285.1,279.6,282.6,282.6,53110,28.462309303283693,28.51,27.96,28.259999999999998,10.000000000000002,28.51,27.96,0,531100,2674,14924525.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-24,IRBR3,IRBR3,283.61154651641846,290.0,277.3,285.025,285.025,380870,28.361154651641847,29.0,27.73,28.5025,9.999999999999998,29.0,27.73,0,3808700,3925,107923145.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-25,IRBR3,IRBR3,284.3182732582092,298.0,284.3182732582092,293.20000000000005,293.20000000000005,152390,28.431827325820926,29.8,28.431827325820926,29.32,10.000000000000002,29.8,28.431827325820926,0,1523900,2183,44593145.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-28,IRBR3,IRBR3,288.75913662910466,303.29999999999995,288.75913662910466,299.85,299.85,175020,28.875913662910463,30.33,28.875913662910463,29.985,10.000000000000002,30.33,28.875913662910463,0,1750200,3718,52796844.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-29,IRBR3,IRBR3,294.30456831455234,307.7,294.30456831455234,301.77500000000003,301.77500000000003,85030,29.43045683145523,30.77,29.43045683145523,30.1775,10.000000000000002,30.77,29.43045683145523,0,850300,2062,25854580.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-30,IRBR3,IRBR3,298.0397841572762,303.8,297.2,301.875,301.875,49470,29.803978415727613,30.38,29.72,30.1875,10.0,30.38,29.72,0,494700,1557,14881768.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-08-31,IRBR3,IRBR3,299.9573920786381,303.29999999999995,298.8,300.72499999999997,300.72499999999997,18550,29.995739207863807,30.33,29.88,30.072499999999998,10.0,30.33,29.88,0,185500,537,5569657.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-01,IRBR3,IRBR3,300.341196039319,301.0,296.2,298.725,298.725,78370,30.034119603931902,30.1,29.62,29.872500000000002,10.0,30.1,29.62,0,783700,2783,23373631.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-04,IRBR3,IRBR3,299.5330980196595,301.5,297.0,299.125,299.125,20650,29.95330980196595,30.15,29.7,29.9125,10.0,30.15,29.7,0,206500,887,6191809.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-05,IRBR3,IRBR3,299.32904900982976,304.9,299.20000000000005,301.775,301.775,193630,29.932904900982976,30.49,29.92,30.1775,10.0,30.49,29.92,0,1936300,1692,58413579.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-06,IRBR3,IRBR3,300.55202450491487,310.0,300.55202450491487,306.95,306.95,84180,30.055202450491485,31.0,30.055202450491485,30.695,10.0,31.0,30.055202450491485,0,841800,3702,25919879.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-08,IRBR3,IRBR3,303.75101225245743,317.9,303.75101225245743,313.55,313.55,223540,30.375101225245743,31.79,30.375101225245743,31.355,10.0,31.79,30.375101225245743,0,2235400,7548,69796849.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-11,IRBR3,IRBR3,308.6505061262287,318.0,308.6505061262287,315.47499999999997,315.47499999999997,91390,30.865050612622873,31.8,30.865050612622873,31.5475,9.999999999999998,31.8,30.865050612622873,0,913900,2837,28833552.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-12,IRBR3,IRBR3,312.0627530631143,319.7,312.0627530631143,316.325,316.325,89240,31.206275306311436,31.97,31.206275306311436,31.6325,10.0,31.97,31.206275306311436,0,892400,3001,28266662.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-13,IRBR3,IRBR3,314.1938765315572,316.3,310.0,313.32500000000005,313.32500000000005,47040,31.419387653155717,31.63,31.0,31.3325,10.000000000000002,31.63,31.0,0,470400,1720,14689830.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-14,IRBR3,IRBR3,313.7594382657786,316.0,310.5,312.125,312.125,39600,31.37594382657786,31.6,31.05,31.2125,10.0,31.6,31.05,0,396000,2564,12393528.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-15,IRBR3,IRBR3,312.9422191328893,317.6,311.1,314.3,314.3,78680,31.29422191328893,31.76,31.11,31.43,10.0,31.76,31.11,0,786800,1685,24824227.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
2017-09-18,IRBR3,IRBR3,313.62110956644466,321.0,313.09999999999997,316.775,316.775,146260,31.362110956644464,32.1,31.31,31.677500000000002,9.999999999999998,32.1,31.31,0,1462600,3333,46269989.0,1,02,010,BRIRBRACNOR4,100,ON      NM,IRBBRASIL RE
